id,fid,h,a,date,league_id,season,h_goals,a_goals,team_h,team_a,h_xg,a_xg,h_w,h_d,h_l,league,h_shot,a_shot,h_shotOnTarget,a_shotOnTarget,h_deep,a_deep,a_ppda,h_ppda
10337,1294545,117,120,2018-08-24 21:30:00,3,2018,3,1,Bayern Munich,Hoffenheim,3.08883,0.697274,0.9052,0.0745,0.0203,Bundesliga,16,8,5,5,11,3,13.3333,9.4118
10338,1294552,131,124,2018-08-25 16:30:00,3,2018,2,1,Wolfsburg,Schalke 04,1.31029,1.86154,0.1996,0.2822,0.5182,Bundesliga,10,9,7,4,6,3,9.9615,5.75
10339,1294553,233,121,2018-08-25 16:30:00,3,2018,1,2,Fortuna Duesseldorf,Augsburg,1.32783,0.755029,0.5292,0.2869,0.1839,Bundesliga,9,14,5,7,5,4,11.04,9.4444
10340,1294548,122,234,2018-08-25 16:30:00,3,2018,1,0,Hertha Berlin,Nuernberg,1.03309,1.34412,0.2221,0.3535,0.4244,Bundesliga,10,12,3,3,4,3,14.4,11.9167
10341,1294549,123,128,2018-08-25 16:30:00,3,2018,1,1,Werder Bremen,Hannover 96,1.91197,0.840127,0.6637,0.2102,0.1261,Bundesliga,15,13,3,4,7,4,11.96,11.28
10342,1294550,135,132,2018-08-25 16:30:00,3,2018,0,2,Freiburg,Eintracht Frankfurt,1.46674,0.81415,0.5345,0.2758,0.1897,Bundesliga,22,10,6,2,13,2,15.8667,9.4211
10343,1294547,130,119,2018-08-25 19:30:00,3,2018,2,0,Borussia M.Gladbach,Bayer Leverkusen,3.34179,1.05775,0.8723,0.0867,0.041,Bundesliga,18,14,7,3,10,6,17.625,13.1667
10344,1294551,125,133,2018-08-26 16:30:00,3,2018,1,0,Mainz 05,VfB Stuttgart,1.28621,1.07847,0.4095,0.3072,0.2833,Bundesliga,10,12,3,3,4,4,14.3529,8.1786
10345,1294546,129,136,2018-08-26 19:00:00,3,2018,4,1,Borussia Dortmund,RasenBallsport Leipzig,1.96153,1.46268,0.4946,0.2595,0.2459,Bundesliga,10,11,5,7,4,4,7.6,10.95
10346,1294561,128,129,2018-08-31 21:30:00,3,2018,0,0,Hannover 96,Borussia Dortmund,0.462033,0.842511,0.1758,0.3841,0.4401,Bundesliga,7,9,0,3,5,2,16.3182,9.25
10347,1294562,234,125,2018-09-01 13:30:00,3,2018,1,1,Nuernberg,Mainz 05,1.56238,0.367667,0.7305,0.2064,0.0631,Bundesliga,19,6,4,1,6,4,24.0,12.25
10348,1294559,132,123,2018-09-01 13:30:00,3,2018,1,2,Eintracht Frankfurt,Werder Bremen,1.25306,1.34271,0.3259,0.314,0.3601,Bundesliga,5,11,1,7,1,9,8.1739,36.0
10349,1294560,121,130,2018-09-01 13:30:00,3,2018,1,1,Augsburg,Borussia M.Gladbach,1.7521,1.31189,0.4745,0.2737,0.2518,Bundesliga,18,7,7,2,5,9,12.9231,11.8519
10350,1294555,120,135,2018-09-01 13:30:00,3,2018,3,1,Hoffenheim,Freiburg,3.48013,1.53718,0.8078,0.1216,0.0706,Bundesliga,22,11,8,4,4,4,8.6774,6.875
10351,1294556,119,131,2018-09-01 13:30:00,3,2018,1,3,Bayer Leverkusen,Wolfsburg,0.877655,2.13508,0.1049,0.1864,0.7087,Bundesliga,16,13,3,5,4,2,7.3226,15.0
10352,1294558,133,117,2018-09-01 16:30:00,3,2018,0,3,VfB Stuttgart,Bayern Munich,0.0990837,1.71434,0.0187,0.1863,0.795,Bundesliga,4,24,0,7,6,18,7.88,31.6667
10353,1294557,136,233,2018-09-02 13:30:00,3,2018,1,1,RasenBallsport Leipzig,Fortuna Duesseldorf,2.25033,1.43691,0.5713,0.2212,0.2075,Bundesliga,24,14,7,8,10,5,8.6,5.5714
10354,1294554,124,122,2018-09-02 16:00:00,3,2018,0,2,Schalke 04,Hertha Berlin,1.59561,0.566284,0.669,0.2418,0.0892,Bundesliga,16,5,4,3,9,3,10.75,7.875
10355,1294564,129,132,2018-09-14 18:30:00,3,2018,3,1,Borussia Dortmund,Eintracht Frankfurt,1.95503,0.199314,0.929,0.0656,0.0054,Bundesliga,10,5,6,2,1,1,15.963,9.2143
10356,1294565,136,128,2018-09-15 13:30:00,3,2018,3,2,RasenBallsport Leipzig,Hannover 96,2.35222,0.950644,0.7334,0.1636,0.103,Bundesliga,14,16,6,8,5,6,7.0,21.2632
10357,1294569,125,121,2018-09-15 13:30:00,3,2018,2,1,Mainz 05,Augsburg,2.81187,0.736371,0.8412,0.1128,0.046,Bundesliga,22,14,7,4,8,4,7.6333,6.8889
10358,1294570,131,122,2018-09-15 13:30:00,3,2018,2,2,Wolfsburg,Hertha Berlin,2.23932,0.590795,0.8233,0.1325,0.0442,Bundesliga,15,10,6,5,7,0,14.4211,6.8182
10359,1294571,233,120,2018-09-15 13:30:00,3,2018,2,1,Fortuna Duesseldorf,Hoffenheim,1.78366,2.19977,0.2667,0.2762,0.4571,Bundesliga,8,20,4,5,0,15,4.9565,17.9375
10360,1294563,117,119,2018-09-15 13:30:00,3,2018,3,1,Bayern Munich,Bayer Leverkusen,1.40345,0.784725,0.508,0.3518,0.1402,Bundesliga,15,3,5,1,13,1,40.2727,8.7059
10361,1294566,130,124,2018-09-15 16:30:00,3,2018,2,1,Borussia M.Gladbach,Schalke 04,1.4002,0.729351,0.554,0.2723,0.1737,Bundesliga,15,16,4,6,4,8,14.0556,12.7895
10362,1294567,123,234,2018-09-16 13:30:00,3,2018,1,1,Werder Bremen,Nuernberg,0.700449,0.514375,0.3524,0.4093,0.2383,Bundesliga,14,11,2,2,3,4,15.3889,8.9286
10363,1294568,135,133,2018-09-16 16:00:00,3,2018,3,3,Freiburg,VfB Stuttgart,1.20784,1.19724,0.3106,0.3454,0.344,Bundesliga,12,12,5,6,4,6,9.65,17.375
10364,1294575,133,233,2018-09-21 18:30:00,3,2018,0,0,VfB Stuttgart,Fortuna Duesseldorf,1.39372,1.23964,0.404,0.288,0.308,Bundesliga,10,19,1,7,10,6,9.3571,8.4815
10365,1294573,120,129,2018-09-22 13:30:00,3,2018,1,1,Hoffenheim,Borussia Dortmund,1.92814,1.4456,0.4918,0.2605,0.2477,Bundesliga,17,8,5,2,8,4,14.0556,17.9524
10366,1294577,122,130,2018-09-22 13:30:00,3,2018,4,2,Hertha Berlin,Borussia M.Gladbach,3.9572,2.64706,0.664,0.1662,0.1698,Bundesliga,16,16,7,4,7,5,18.2353,17.75
10367,1294578,121,123,2018-09-22 13:30:00,3,2018,2,3,Augsburg,Werder Bremen,2.11259,1.39048,0.5452,0.2341,0.2207,Bundesliga,21,12,7,7,8,6,12.7059,8.1379
10368,1294579,131,135,2018-09-22 13:30:00,3,2018,1,3,Wolfsburg,Freiburg,0.826665,2.26733,0.0747,0.1576,0.7677,Bundesliga,19,11,9,8,7,3,19.3333,3.2143
10369,1294580,234,128,2018-09-22 13:30:00,3,2018,2,0,Nuernberg,Hannover 96,1.64985,0.557368,0.7056,0.2147,0.0797,Bundesliga,15,8,6,2,11,6,72.25,15.75
10370,1294572,124,117,2018-09-22 16:30:00,3,2018,0,2,Schalke 04,Bayern Munich,0.358342,2.58882,0.018,0.0647,0.9173,Bundesliga,10,14,2,7,1,7,7.1905,17.2069
10371,1294574,119,125,2018-09-23 13:30:00,3,2018,1,0,Bayer Leverkusen,Mainz 05,1.29357,0.76291,0.5024,0.2976,0.2,Bundesliga,18,12,5,5,16,7,13.1111,9.5556
10372,1294576,132,136,2018-09-23 16:00:00,3,2018,1,1,Eintracht Frankfurt,RasenBallsport Leipzig,1.80358,1.8818,0.3331,0.2931,0.3738,Bundesliga,8,9,5,2,4,5,10.4118,7.6552
10373,1294585,123,122,2018-09-25 16:30:00,3,2018,3,1,Werder Bremen,Hertha Berlin,2.51866,0.94148,0.8025,0.1422,0.0553,Bundesliga,14,11,6,2,10,5,17.4286,10.52
10374,1294586,128,120,2018-09-25 18:30:00,3,2018,1,3,Hannover 96,Hoffenheim,2.06878,1.98958,0.3972,0.2578,0.345,Bundesliga,16,19,8,9,8,7,14.04,6.8148
10375,1294587,135,124,2018-09-25 18:30:00,3,2018,1,0,Freiburg,Schalke 04,1.38048,0.928266,0.4886,0.2807,0.2307,Bundesliga,15,15,4,3,5,3,7.4091,9.0417
10376,1294581,117,121,2018-09-25 18:30:00,3,2018,1,1,Bayern Munich,Augsburg,1.43314,1.32512,0.3481,0.3514,0.3005,Bundesliga,15,11,8,4,3,3,11.1176,8.4737
10377,1294589,233,119,2018-09-26 16:30:00,3,2018,1,2,Fortuna Duesseldorf,Bayer Leverkusen,1.75244,1.48071,0.41,0.329,0.261,Bundesliga,16,6,4,3,8,5,9.3913,12.9583
10378,1294582,129,234,2018-09-26 18:30:00,3,2018,7,0,Borussia Dortmund,Nuernberg,2.18746,0.154216,0.8883,0.0977,0.014,Bundesliga,19,4,10,1,8,3,32.2222,13.25
10379,1294583,136,133,2018-09-26 18:30:00,3,2018,2,0,RasenBallsport Leipzig,VfB Stuttgart,3.13273,0.640951,0.9181,0.0654,0.0165,Bundesliga,18,9,8,0,8,3,8.05,14.8636
10380,1294584,130,132,2018-09-26 18:30:00,3,2018,3,1,Borussia M.Gladbach,Eintracht Frankfurt,1.5541,1.11709,0.4673,0.2698,0.2629,Bundesliga,21,12,9,2,7,3,14.8889,14.9231
10381,1294588,125,131,2018-09-26 18:30:00,3,2018,0,0,Mainz 05,Wolfsburg,0.362483,1.19657,0.092,0.286,0.622,Bundesliga,11,12,2,4,3,7,9.4545,10.15
10382,1294598,122,117,2018-09-28 18:30:00,3,2018,2,0,Hertha Berlin,Bayern Munich,1.48921,2.40599,0.1648,0.2304,0.6048,Bundesliga,6,24,4,4,4,20,4.1613,17.0
10383,1294593,133,123,2018-09-29 13:30:00,3,2018,2,1,VfB Stuttgart,Werder Bremen,2.43649,0.656694,0.8143,0.1302,0.0555,Bundesliga,18,14,5,3,5,4,7.45,13.5263
10384,1294590,124,125,2018-09-29 13:30:00,3,2018,1,0,Schalke 04,Mainz 05,1.59406,0.642848,0.6439,0.2381,0.118,Bundesliga,15,15,2,5,4,6,6.1786,9.9231
10385,1294591,120,136,2018-09-29 13:30:00,3,2018,1,2,Hoffenheim,RasenBallsport Leipzig,1.77221,1.47287,0.4443,0.2661,0.2896,Bundesliga,13,18,6,7,11,9,13.2083,7.8148
10386,1294602,131,130,2018-09-29 13:30:00,3,2018,2,2,Wolfsburg,Borussia M.Gladbach,0.802752,0.849348,0.3015,0.3555,0.343,Bundesliga,13,10,3,3,9,2,19.0,16.7857
10387,1294604,234,233,2018-09-29 13:30:00,3,2018,3,0,Nuernberg,Fortuna Duesseldorf,2.42225,1.17182,0.7149,0.1849,0.1002,Bundesliga,10,13,6,4,3,11,13.0,26.2308
10388,1294592,119,129,2018-09-29 16:30:00,3,2018,2,4,Bayer Leverkusen,Borussia Dortmund,1.34044,2.98145,0.0818,0.1432,0.775,Bundesliga,14,16,6,10,4,8,7.8929,12.5625
10389,1294596,132,128,2018-09-30 13:30:00,3,2018,4,1,Eintracht Frankfurt,Hannover 96,2.76495,0.613099,0.9022,0.084,0.0138,Bundesliga,16,4,7,1,8,2,6.3,9.2963
10390,1294600,121,135,2018-09-30 16:00:00,3,2018,4,1,Augsburg,Freiburg,4.37565,1.61825,0.9128,0.0608,0.0264,Bundesliga,22,13,10,6,10,3,12.8889,8.5357
10395,1294614,123,131,2018-10-05 18:30:00,3,2018,2,0,Werder Bremen,Wolfsburg,1.10209,0.351604,0.5709,0.3225,0.1066,Bundesliga,15,10,5,4,4,4,12.2222,13.3158
