match_id,is_result,home_team_id,home_team,home_team_short,away_team_id,away_team,away_team_short,home_goals,away_goals,home_xG,away_xG,match_datetime,forecast_win,forecast_draw,forecast_loss,league,year
10337,True,117,Bayern Munich,BAY,120,Hoffenheim,HOF,3,1,3.08883,0.697274,2018-08-24 21:30:00,0.9052,0.0745,0.0203,Bundesliga,2018
10338,True,131,Wolfsburg,WOL,124,Schalke 04,SCH,2,1,1.31029,1.86154,2018-08-25 16:30:00,0.1996,0.2822,0.5182,Bundesliga,2018
10339,True,233,Fortuna Duesseldorf,FOR,121,Augsburg,AUG,1,2,1.32783,0.755029,2018-08-25 16:30:00,0.5292,0.2869,0.1839,Bundesliga,2018
10340,True,122,Hertha Berlin,HER,234,Nuernberg,NUE,1,0,1.03309,1.34412,2018-08-25 16:30:00,0.2221,0.3535,0.4244,Bundesliga,2018
10341,True,123,Werder Bremen,WER,128,Hannover 96,HAN,1,1,1.91197,0.840127,2018-08-25 16:30:00,0.6637,0.2102,0.1261,Bundesliga,2018
10342,True,135,Freiburg,FRE,132,Eintracht Frankfurt,EIN,0,2,1.46674,0.81415,2018-08-25 16:30:00,0.5345,0.2758,0.1897,Bundesliga,2018
10343,True,130,Borussia M.Gladbach,BMG,119,Bayer Leverkusen,LEV,2,0,3.34179,1.05775,2018-08-25 19:30:00,0.8723,0.0867,0.041,Bundesliga,2018
10344,True,125,Mainz 05,MAI,133,VfB Stuttgart,STU,1,0,1.28621,1.07847,2018-08-26 16:30:00,0.4095,0.3072,0.2833,Bundesliga,2018
10345,True,129,Borussia Dortmund,DOR,136,RasenBallsport Leipzig,RBL,4,1,1.96153,1.46268,2018-08-26 19:00:00,0.4946,0.2595,0.2459,Bundesliga,2018
10346,True,128,Hannover 96,HAN,129,Borussia Dortmund,DOR,0,0,0.462033,0.842511,2018-08-31 21:30:00,0.1758,0.3841,0.4401,Bundesliga,2018
10347,True,234,Nuernberg,NUE,125,Mainz 05,MAI,1,1,1.56238,0.367667,2018-09-01 13:30:00,0.7305,0.2064,0.0631,Bundesliga,2018
10348,True,132,Eintracht Frankfurt,EIN,123,Werder Bremen,WER,1,2,1.25306,1.34271,2018-09-01 13:30:00,0.3259,0.314,0.3601,Bundesliga,2018
10349,True,121,Augsburg,AUG,130,Borussia M.Gladbach,BMG,1,1,1.7521,1.31189,2018-09-01 13:30:00,0.4745,0.2737,0.2518,Bundesliga,2018
10350,True,120,Hoffenheim,HOF,135,Freiburg,FRE,3,1,3.48013,1.53718,2018-09-01 13:30:00,0.8078,0.1216,0.0706,Bundesliga,2018
10351,True,119,Bayer Leverkusen,LEV,131,Wolfsburg,WOL,1,3,0.877655,2.13508,2018-09-01 13:30:00,0.1049,0.1864,0.7087,Bundesliga,2018
10352,True,133,VfB Stuttgart,STU,117,Bayern Munich,BAY,0,3,0.0990837,1.71434,2018-09-01 16:30:00,0.0187,0.1863,0.795,Bundesliga,2018
10353,True,136,RasenBallsport Leipzig,RBL,233,Fortuna Duesseldorf,FOR,1,1,2.25033,1.43691,2018-09-02 13:30:00,0.5713,0.2212,0.2075,Bundesliga,2018
10354,True,124,Schalke 04,SCH,122,Hertha Berlin,HER,0,2,1.59561,0.566284,2018-09-02 16:00:00,0.669,0.2418,0.0892,Bundesliga,2018
10355,True,129,Borussia Dortmund,DOR,132,Eintracht Frankfurt,EIN,3,1,1.95503,0.199314,2018-09-14 18:30:00,0.929,0.0656,0.0054,Bundesliga,2018
10356,True,136,RasenBallsport Leipzig,RBL,128,Hannover 96,HAN,3,2,2.35222,0.950644,2018-09-15 13:30:00,0.7334,0.1636,0.103,Bundesliga,2018
10357,True,125,Mainz 05,MAI,121,Augsburg,AUG,2,1,2.81187,0.736371,2018-09-15 13:30:00,0.8412,0.1128,0.046,Bundesliga,2018
10358,True,131,Wolfsburg,WOL,122,Hertha Berlin,HER,2,2,2.23932,0.590795,2018-09-15 13:30:00,0.8233,0.1325,0.0442,Bundesliga,2018
10359,True,233,Fortuna Duesseldorf,FOR,120,Hoffenheim,HOF,2,1,1.78366,2.19977,2018-09-15 13:30:00,0.2667,0.2762,0.4571,Bundesliga,2018
10360,True,117,Bayern Munich,BAY,119,Bayer Leverkusen,LEV,3,1,1.40345,0.784725,2018-09-15 13:30:00,0.508,0.3518,0.1402,Bundesliga,2018
10361,True,130,Borussia M.Gladbach,BMG,124,Schalke 04,SCH,2,1,1.4002,0.729351,2018-09-15 16:30:00,0.554,0.2723,0.1737,Bundesliga,2018
10362,True,123,Werder Bremen,WER,234,Nuernberg,NUE,1,1,0.700449,0.514375,2018-09-16 13:30:00,0.3524,0.4093,0.2383,Bundesliga,2018
10363,True,135,Freiburg,FRE,133,VfB Stuttgart,STU,3,3,1.20784,1.19724,2018-09-16 16:00:00,0.3106,0.3454,0.344,Bundesliga,2018
10364,True,133,VfB Stuttgart,STU,233,Fortuna Duesseldorf,FOR,0,0,1.39372,1.23964,2018-09-21 18:30:00,0.404,0.288,0.308,Bundesliga,2018
10365,True,120,Hoffenheim,HOF,129,Borussia Dortmund,DOR,1,1,1.92814,1.4456,2018-09-22 13:30:00,0.4918,0.2605,0.2477,Bundesliga,2018
10366,True,122,Hertha Berlin,HER,130,Borussia M.Gladbach,BMG,4,2,3.9572,2.64706,2018-09-22 13:30:00,0.664,0.1662,0.1698,Bundesliga,2018
10367,True,121,Augsburg,AUG,123,Werder Bremen,WER,2,3,2.11259,1.39048,2018-09-22 13:30:00,0.5452,0.2341,0.2207,Bundesliga,2018
10368,True,131,Wolfsburg,WOL,135,Freiburg,FRE,1,3,0.826665,2.26733,2018-09-22 13:30:00,0.0747,0.1576,0.7677,Bundesliga,2018
10369,True,234,Nuernberg,NUE,128,Hannover 96,HAN,2,0,1.64985,0.557368,2018-09-22 13:30:00,0.7056,0.2147,0.0797,Bundesliga,2018
10370,True,124,Schalke 04,SCH,117,Bayern Munich,BAY,0,2,0.358342,2.58882,2018-09-22 16:30:00,0.018,0.0647,0.9173,Bundesliga,2018
