id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,league,year
227,Robert Lewandowski,33,2959,22,33.143249057233334,7,9.613416269421576,144,47,2,0,F,Bayern Munich,19,30.112291682511568,41.92331736534834,8.940881442278624,Bundesliga,2018
2380,Paco Alcácer,26,1181,18,10.243738202378154,0,1.606299844570458,52,15,0,0,F S,Borussia Dortmund,17,9.48596122674644,12.346806429326534,4.099529784172773,Bundesliga,2018
319,Marco Reus,27,2335,17,16.63950938731432,8,6.939868495799601,69,38,3,1,F M,Borussia Dortmund,14,14.366176107898356,25.3209924697876,9.207558234222232,Bundesliga,2018
956,Andrej Kramaric,30,2418,17,21.575572077184916,4,5.921653777360916,111,51,2,0,F M S,Hoffenheim,12,17.02906829304993,30.95576749369502,12.900221295654774,Bundesliga,2018
5220,Kai Havertz,34,2906,17,11.994206056930125,3,2.9544783998280764,86,35,2,0,F M S,Bayer Leverkusen,14,9.721114703454075,22.9847439462319,12.91804094426334,Bundesliga,2018
6228,Luka Jovic,32,2256,17,16.374113008379936,5,3.9537296555936337,96,26,1,0,F M S,Eintracht Frankfurt,16,15.6163340061903,19.627641800791025,4.356705125421286,Bundesliga,2018
7052,Wout Weghorst,34,2933,17,15.743415473029016,7,4.727676076814532,74,37,4,0,F S,Wolfsburg,13,12.712311571463944,18.034685615450144,3.535672997124493,Bundesliga,2018
65,Timo Werner,30,2537,16,17.38365798443556,7,5.612681785598397,107,36,1,0,F M S,RasenBallsport Leipzig,16,16.625880055129528,24.071128740906715,3.9079179167747498,Bundesliga,2018
3834,Ishak Belfodil,28,1867,16,12.273318383842708,3,5.104060221463442,89,30,3,0,F M S,Hoffenheim,16,12.273318383842708,18.454886622726917,3.812878400087357,Bundesliga,2018
5250,Yussuf Poulsen,31,2450,15,12.088992852717638,3,4.421724155545235,65,32,2,0,F S,RasenBallsport Leipzig,15,12.088992852717638,19.941677691414952,6.061320887878537,Bundesliga,2018
6144,Sébastien Haller,29,2176,15,13.694875746965408,9,7.365843757987022,54,38,3,0,F S,Eintracht Frankfurt,12,11.421543806791306,18.38963846862316,5.616492498666048,Bundesliga,2018
83,Kevin Volland,34,2829,14,15.157770028337836,9,8.72912509739399,87,43,4,0,D F M S,Bayer Leverkusen,14,15.157770028337836,24.608731605112553,5.735529197379947,Bundesliga,2018
5735,Jean-Philippe Mateta,34,2505,14,13.438382159918548,2,2.8835383150726557,96,30,2,0,F S,Mainz 05,14,13.438382159918548,17.881383119150996,2.674825127236545,Bundesliga,2018
3310,Alassane Pléa,34,2513,12,11.376329723745584,4,3.4188453424721956,83,34,2,0,F M S,Borussia M.Gladbach,12,11.376329723745584,15.47036161273718,5.1970779513940215,Bundesliga,2018
6345,Jadon Sancho,34,2463,12,7.421704597771168,14,8.309543904848397,40,63,2,0,M S,Borussia Dortmund,12,7.421704597771168,28.07281539775431,16.31535908393562,Bundesliga,2018
155,Max Kruse,32,2840,11,10.845133722759783,9,5.906608497723937,91,78,0,0,F M,Werder Bremen,8,8.571802706457675,19.77341654151678,9.382066175341606,Bundesliga,2018
5240,Ondrej Duda,32,2590,11,6.746956484392285,5,5.985960861667991,54,41,7,0,M S,Hertha Berlin,11,6.746956484392285,17.581694550812244,8.362128462642431,Bundesliga,2018
29,Vedad Ibisevic,28,1838,10,11.796555381268265,2,1.2025295868515968,53,16,4,1,F M S,Hertha Berlin,9,11.038779389113188,15.35735633596778,3.746740462258458,Bundesliga,2018
213,Thorgan Hazard,33,2885,10,9.718651266768576,10,9.782197763212023,75,73,1,0,F M,Borussia M.Gladbach,7,5.929769674316049,17.89327171072364,8.82364683225751,Bundesliga,2018
993,Serge Gnabry,30,1782,10,9.336768036708236,5,7.477373942732811,63,27,0,0,F M S,Bayern Munich,10,9.336768036708236,23.93461725302041,9.198959412053227,Bundesliga,2018
2655,Alfred Finnbogason,18,1372,10,11.457078740000725,1,2.427559692412615,40,20,2,0,F S,Augsburg,6,8.426211759448051,10.545283645391464,1.5004222942516208,Bundesliga,2018
4248,Nils Petersen,24,1925,10,7.423546638339758,3,1.5120443776249886,49,21,0,0,F S,Freiburg,9,5.907995667308569,8.715456280857325,3.148185597732663,Bundesliga,2018
5706,Dodi Lukebakio,31,1989,10,11.84530101530254,3,2.2067444007843733,56,20,6,0,F M S,Fortuna Duesseldorf,6,7.298880798742175,12.223733441904187,2.986320259049535,Bundesliga,2018
