team_id,team_title,match_date,home_away,xG,xGA,npxG,npxGA,ppda_att,ppda_def,ppda_allowed_att,ppda_allowed_def,deep,deep_allowed,scored,missed,xpts,result,wins,draws,loses,pts,npxGD,league,year
117,Bayern Munich,2018-08-24 21:30:00,h,3.08883,0.697274,2.33114,0.697274,160,17,360,27,11,3,3,1,2.7901,w,1,0,0,3,1.633866,Bundesliga,2018
117,Bayern Munich,2018-09-01 16:30:00,a,1.71434,0.0990837,1.71434,0.0990837,197,25,380,12,18,6,3,0,2.5713000000000004,w,1,0,0,3,1.6152563,Bundesliga,2018
117,Bayern Munich,2018-09-15 13:30:00,h,1.40345,0.784725,1.40345,0.0270284,148,17,443,11,13,1,3,1,1.8758,w,1,0,0,3,1.3764216,Bundesliga,2018
117,Bayern Munich,2018-09-22 16:30:00,a,2.58882,0.358342,1.83112,0.358342,151,21,499,29,7,1,2,0,2.8166,w,1,0,0,3,1.472778,Bundesliga,2018
117,Bayern Munich,2018-09-25 18:30:00,h,1.43314,1.32512,1.43314,1.32512,161,19,378,34,3,3,1,1,1.3957,d,0,1,0,1,0.10802,Bundesliga,2018
117,Bayern Munich,2018-09-28 18:30:00,a,2.40599,1.48921,2.40599,0.731438,129,31,340,20,20,4,0,2,2.0448,l,0,0,1,0,1.674552,Bundesliga,2018
117,Bayern Munich,2018-10-06 16:30:00,h,0.595523,0.559058,0.595523,0.559058,156,21,442,11,8,1,0,3,1.3055,l,0,0,1,0,0.0364649999999999,Bundesliga,2018
117,Bayern Munich,2018-10-20 13:30:00,a,2.75811,0.815476,2.75811,0.815476,230,17,316,20,7,2,3,1,2.6766,w,1,0,0,3,1.942634,Bundesliga,2018
117,Bayern Munich,2018-10-27 13:30:00,a,2.15695,0.592384,2.15695,0.592384,171,20,383,14,12,3,2,1,2.498,w,1,0,0,3,1.564566,Bundesliga,2018
117,Bayern Munich,2018-11-03 14:30:00,h,1.8539,0.592458,1.8539,0.592458,144,24,350,16,17,1,1,1,2.3461,d,0,1,0,1,1.2614420000000002,Bundesliga,2018
117,Bayern Munich,2018-11-10 17:30:00,a,1.84247,2.56191,1.84247,1.80413,302,31,345,14,16,5,2,3,0.8308000000000001,l,0,0,1,0,0.03834,Bundesliga,2018
117,Bayern Munich,2018-11-24 14:30:00,h,2.81107,1.36755,2.81107,1.36755,122,18,562,9,13,0,3,3,2.3246,d,0,1,0,1,1.44352,Bundesliga,2018
117,Bayern Munich,2018-12-01 14:30:00,a,3.29433,0.637321,3.29433,0.637321,251,15,369,21,14,7,2,1,2.8282000000000003,w,1,0,0,3,2.657009,Bundesliga,2018
117,Bayern Munich,2018-12-08 14:30:00,h,2.8246,0.191129,2.8246,0.191129,143,30,467,7,21,2,3,0,2.898,w,1,0,0,3,2.633471,Bundesliga,2018
117,Bayern Munich,2018-12-15 14:30:00,a,4.18084,0.628893,4.18084,0.628893,180,22,447,17,23,1,4,0,2.9368,w,1,0,0,3,3.5519469999999997,Bundesliga,2018
117,Bayern Munich,2018-12-19 19:30:00,h,1.81321,0.721767,1.81321,0.721767,173,27,392,33,7,0,1,0,2.2502000000000004,w,1,0,0,3,1.091443,Bundesliga,2018
117,Bayern Munich,2018-12-22 17:30:00,a,2.04036,1.31242,2.04036,1.31242,224,16,363,21,12,3,3,0,1.9664,w,1,0,0,3,0.7279400000000003,Bundesliga,2018
117,Bayern Munich,2019-01-18 19:30:00,a,3.31311,1.1596,3.31311,1.1596,280,22,350,28,17,7,3,1,2.6418999999999997,w,1,0,0,3,2.15351,Bundesliga,2018
117,Bayern Munich,2019-01-27 14:30:00,h,3.41668,0.361664,2.6589,0.361664,142,19,502,23,15,2,4,1,2.9217,w,1,0,0,3,2.297236,Bundesliga,2018
117,Bayern Munich,2019-02-02 14:30:00,a,1.868,1.2769,1.868,1.2769,262,31,259,29,7,4,1,3,1.8201000000000005,l,0,0,1,0,0.5911000000000002,Bundesliga,2018
117,Bayern Munich,2019-02-09 17:30:00,h,2.35845,1.39766,2.35845,1.39766,182,31,404,14,17,1,3,1,2.0436,w,1,0,0,3,0.96079,Bundesliga,2018
117,Bayern Munich,2019-02-15 19:30:00,a,2.20232,0.510867,2.20232,0.510867,127,21,437,18,11,0,3,2,2.5385,w,1,0,0,3,1.691453,Bundesliga,2018
117,Bayern Munich,2019-02-23 14:30:00,h,0.989434,0.279649,0.989434,0.279649,221,28,387,29,4,6,1,0,2.0652,w,1,0,0,3,0.7097850000000001,Bundesliga,2018
117,Bayern Munich,2019-03-02 17:30:00,a,5.94023,0.58281,5.18245,0.58281,268,17,541,12,15,3,5,1,2.9929,w,1,0,0,3,4.59964,Bundesliga,2018
117,Bayern Munich,2019-03-09 14:30:00,h,3.77617,0.159247,3.77617,0.159247,249,23,369,11,11,0,6,0,2.971,w,1,0,0,3,3.616923,Bundesliga,2018
117,Bayern Munich,2019-03-17 17:00:00,h,2.66818,0.302976,2.66818,0.302976,148,19,423,12,18,5,6,0,2.8082,w,1,0,0,3,2.365204,Bundesliga,2018
117,Bayern Munich,2019-03-30 14:30:00,a,3.23843,0.719026,3.23843,0.719026,175,32,422,15,12,3,1,1,2.7626,d,0,1,0,1,2.519404,Bundesliga,2018
117,Bayern Munich,2019-04-06 17:30:00,h,4.30876,0.478204,4.30876,0.478204,282,24,365,11,10,3,5,0,2.9703000000000004,w,1,0,0,3,3.830556000000001,Bundesliga,2018
117,Bayern Munich,2019-04-14 14:30:00,a,3.34878,0.972295,3.34878,0.214518,229,26,467,14,12,1,4,1,2.8007000000000004,w,1,0,0,3,3.134262,Bundesliga,2018
117,Bayern Munich,2019-04-20 14:30:00,h,2.60771,0.134891,2.60771,0.134891,143,20,362,13,12,1,1,0,2.8469,w,1,0,0,3,2.472819,Bundesliga,2018
117,Bayern Munich,2019-04-28 17:00:00,a,1.68788,1.90716,1.68788,1.14938,163,18,385,12,6,2,1,1,1.18,d,0,1,0,1,0.5385,Bundesliga,2018
117,Bayern Munich,2019-05-04 14:30:00,h,5.36034,0.871424,5.36034,0.113647,195,21,304,2,25,0,3,1,2.9752,w,1,0,0,3,5.246693,Bundesliga,2018
117,Bayern Munich,2019-05-11 14:30:00,a,1.72176,0.609829,1.72176,0.609829,156,44,409,21,8,7,0,0,2.3422,d,0,1,0,1,1.111931,Bundesliga,2018
117,Bayern Munich,2019-05-18 13:30:00,h,4.62869,0.954021,4.62869,0.954021,144,18,267,17,13,1,5,1,2.9665000000000004,w,1,0,0,3,3.674669,Bundesliga,2018
119,Bayer Leverkusen,2018-08-25 19:30:00,a,1.05775,3.34179,1.05775,1.82624,282,16,316,24,6,10,0,2,0.2097,l,0,0,1,0,-0.7684900000000001,Bundesliga,2018
119,Bayer Leverkusen,2018-09-01 13:30:00,h,0.877655,2.13508,0.877655,2.13508,255,17,227,31,4,2,1,3,0.5011,l,0,0,1,0,-1.257425,Bundesliga,2018
119,Bayer Leverkusen,2018-09-15 13:30:00,a,0.784725,1.40345,0.0270284,1.40345,443,11,148,17,1,13,1,3,0.7724,l,0,0,1,0,-1.3764216,Bundesliga,2018
119,Bayer Leverkusen,2018-09-23 13:30:00,h,1.29357,0.76291,1.29357,0.76291,258,27,236,18,16,7,1,0,1.8047999999999995,w,1,0,0,3,0.5306600000000001,Bundesliga,2018
119,Bayer Leverkusen,2018-09-26 16:30:00,a,1.48071,1.75244,1.48071,0.994659,216,23,311,24,5,8,2,1,1.112,w,1,0,0,3,0.486051,Bundesliga,2018
119,Bayer Leverkusen,2018-09-29 16:30:00,h,1.34044,2.98145,1.34044,2.98145,402,32,221,28,4,8,2,4,0.3886,l,0,0,1,0,-1.64101,Bundesliga,2018
119,Bayer Leverkusen,2018-10-07 11:30:00,a,0.551906,0.501569,0.551906,0.501569,201,26,285,24,3,5,0,0,1.307,d,0,1,0,1,0.0503369999999999,Bundesliga,2018
119,Bayer Leverkusen,2018-10-20 13:30:00,h,2.38988,1.0744,1.6321,1.0744,115,21,216,25,8,3,2,2,2.3313,d,0,1,0,1,0.5577000000000001,Bundesliga,2018
